油 (abura),oil
愛 (ai),"love, affection, care"
愛情 (aijou),"love, affection"
相変わらず (aikawarazu),"as ever, as usual, the same"
生憎 (ainiku),"unfortunately; sorry, but…"
愛する (aisuru),to love
迎え (mukae),"meeting, greeting"
向かい (mukai),"facing, opposite"
向ける (mukeru),"to turn toward, to point"
向く (muku),"to face, to turn toward"
剥く (muku),"to peel, to skin"
胸 (mune),"chest, breast"
無料 (muryou),"free, no charge"
無視 (mushi),"disregarding, ignoring"
虫歯 (mushiba),"cavity, tooth decay"
結ぶ (musubu),"to tie, to bind"
妙 (myou),"strange, unusual"
名 (na),"name, given name"
鍋 (nabe),"saucepan, pot"
撫でる (naderu),"to stroke, to caress"
長生き (nagaiki),"longevity, long life​"
眺め (nagame),"view, scene, prospect"
眺める (nagameru),"to view, to gaze at"
流れ (nagare),"stream, current, flow"
流れる (nagareru),"to stream, to flow"
流す (nagasu),"to drain, to shed"
慰める (nagusameru),"to comfort, to console"
内緒 (naisho),"secrecy, confidentiality"
内容 (naiyou),"contents, matter"
仲 (naka),"relation, relationship"
半ば (nakaba),"middle, half"
仲間 (nakama),"fellow, companion"
中身 (nakami),"contents, interior"
仲直り (nakanaori),"reconciliation, make peace with​"
生 (nama),"raw, uncooked"
怠ける (namakeru),to be idle
波 (nami),wave
涙 (namida),tears
直 (nao),"straight, ordinary, common"
情けない (nasakenai),"miserable, pitiable"
納得 (nattoku),"consent, assent"
懐かしい (natsukashii),"missed, nostalgic​"
縄 (nawa),"rope, cord"
悩む (nayamu),to be worried
謎 (nazo),"riddle, puzzle, mystery"
根 (ne),"root, source, origin"
熱中 (necchuu),going nuts (over something)
値段 (nedan),"price, cost"
願い (negai),"desire, wish"
願う (negau),"to desire, to wish"
年代 (nendai),"age, era, period"
年中 (nenjuu),"whole year, all year round"
年間 (nenkan),years (period of)
年齢 (nenrei),"age, years"
熱帯 (nettai),tropics
鼠 (nezumi),"mouse, rat"
似合う (niau),"to suit, to match"
日常 (nichijou),"ordinary, everyday"
日中 (nicchuu),"daytime, during the day"
日時 (nichiji),date and time​
日夜 (nichiya),"day and night, always, constantly"
苦手 (nigate),"poor at, weak in"
握る (nigiru),"to grip, to grasp"
日本 (nihon),Japan
日光 (nikkou),sunlight
にっこり (nikkori),"smile, grin"
人間 (ningen),"human being, person"
人気 (ninki),popularity
人数 (ninzuu),the number of people​
日程 (nittei),"schedule, program"
野 (no),"plain, field"
伸ばす (nobasu),to grow long
述べる (noberu),"to state, to express"
伸びる (nobiru),"to stretch, to extend"
軒 (noki),eaves
残り (nokori),"remnant, residue"
残す (nokosu),to leave (behind)
のんびり (nonbiri),"carefree, at leisure"
乗せる (noseru),to place on
能 (nou),"talent, gift, function"
農業 (nougyou),agriculture
農家 (nouka),"farmer, farm family"
農民 (noumin),"farmers, peasants"
能力 (nouryoku),ability
除く (nozoku),"to exclude, to except"
望み (nozomi),"hope, desire, wish"
望む (nozomu),"to desire, to wish for"
抜ける (nukeru),"to come out, to fall out"
抜く (nuku),"to extract, to omit"
布 (nuno),cloth
入学 (nyuugaku),matriculation
入院 (nyuuin),hospitalization
入場 (nyuujou),"entrance, admission"
入力 (nyuuryoku),"input, (data) entry​"
入社 (nyuusha),joining a company
溺れる (oboreru),to drown
帯 (obi),"obi, kimono sash"
落ち着く (ochitsuku),"to calm down, to compose oneself"
穏やか (odayaka),"calm, gentle, quiet"
終える (oeru),to finish
老い (oi),"old age, old person"
お辞儀 (ojigi),"bow, bowing"
丘 (oka),"hill, height"
沖 (oki),open sea
